nombre,contacto,telefono,correo,direccion,pais
Lacteos El Salvador,Pedro Ramos,2221-1111,contacto@lacteosv.com,"Km 5 Carretera a Santa Ana, Distrito Santa Ana Centro, Santa Ana",El Salvador
Bebidas Tropical,Maria Fuentes,2233-2222,ventas@bebidastropical.com,"Zona Industrial #45, Distrito Soyapango, San Salvador",El Salvador
Snacks del Valle,Carlos Reyes,2244-3333,info@snacksvalle.com,"Avenida Roosevelt #89, Distrito San Miguel Centro, San Miguel",El Salvador
Aseo Total,Lucia Martinez,2255-4444,lucia@aseototal.com,"Calle Chiltiupan #12, Distrito Santa Tecla, La Libertad",El Salvador
Carnes Premium,Jose Portillo,2266-5555,ventas@carnespremium.com,"Barrio San Juan #34, Distrito Santa Ana Centro, Santa Ana",El Salvador
Agrofrut,Marta Ortiz,2277-6666,contacto@agrofrut.com,"Calle Central #22, Distrito San Vicente, San Vicente",El Salvador
Verduras Selectas,Andres Rivas,2288-7777,info@verdurasselectas.com,"Calle Dr. Araujo #18, Distrito San Salvador Centro, San Salvador",El Salvador
Distribuidora Basicos,Rafael Arevalo,2299-8888,basicos@distri.com,"Bo El Calvario #9, Distrito Usulutan Centro, Usulutan",El Salvador
Agua Pura SV,Gloria Jimenez,2300-9999,ventas@aguapura.com,"Final 3a Calle Poniente #17, Distrito San Miguel, San Miguel",El Salvador
Finca Natural,Eduardo Perez,2311-0000,info@fincanatural.com,"Canton El Zapote #5, Distrito Chalatenango, Chalatenango",El Salvador
